令和5年の月別の自殺者数について,,,,,,,,,,,,,（５月末の暫定値）,,,
１　自殺者総数,,,,,,,,,,,,,【令和５年６月９日集計】,,,
,,合　計,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,,
総数,," 9,082 "," 1,849 "," 1,647 "," 1,974 "," 1,869 "," 1,743 ",,,,,,,,,
,うち男," 6,288 "," 1,226 "," 1,153 "," 1,406 "," 1,297 "," 1,206 ",,,,,,,,,
,うち女," 2,794 ", 623 , 494 , 568 , 572 , 537 ,,,,,,,,,
,,,,,,,,,,,,,,,,
２　都道府県別自殺者数,,,,,,,,,,,,,,,,
都道府県,,合　計,１月,２月,３月,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,,
北海道,, 392 , 73 , 63 , 91 , 85 , 80 ,,,,,,,,,
青　森,, 103 , 25 , 19 , 25 , 23 , 11 ,,,,,,,,,
岩　手,, 121 , 21 , 24 , 26 , 27 , 23 ,,,,,,,,,
宮　城,, 182 , 29 , 35 , 39 , 36 , 43 ,,,,,,,,,
秋　田,, 82 , 17 , 13 , 19 , 18 , 15 ,,,,,,,,,
山　形,, 69 , 17 , 14 , 11 , 11 , 16 ,,,,,,,,,
福　島,, 181 , 28 , 29 , 47 , 39 , 38 ,,,,,,,,,
東　京,," 1,001 ", 231 , 189 , 200 , 191 , 190 ,,,,,,,,,
茨　城,, 218 , 56 , 33 , 45 , 37 , 47 ,,,,,,,,,
栃　木,, 157 , 28 , 26 , 29 , 38 , 36 ,,,,,,,,,
群　馬,, 173 , 34 , 40 , 40 , 30 , 29 ,,,,,,,,,
埼　玉,, 557 , 112 , 86 , 116 , 126 , 117 ,,,,,,,,,
千　葉,, 428 , 73 , 78 , 84 , 106 , 87 ,,,,,,,,,
神奈川,, 502 , 119 , 86 , 94 , 103 , 100 ,,,,,,,,,
新　潟,, 192 , 39 , 31 , 47 , 40 , 35 ,,,,,,,,,
山　梨,, 86 , 21 , 14 , 19 , 19 , 13 ,,,,,,,,,
長　野,, 147 , 30 , 26 , 29 , 31 , 31 ,,,,,,,,,
静　岡,, 260 , 52 , 48 , 64 , 43 , 53 ,,,,,,,,,
富　山,, 87 , 16 , 13 , 20 , 19 , 19 ,,,,,,,,,
石　川,, 87 , 20 , 15 , 17 , 14 , 21 ,,,,,,,,,
福　井,, 48 , 12 , 12 , 10 , 7 , 7 ,,,,,,,,,
岐　阜,, 186 , 35 , 30 , 36 , 45 , 40 ,,,,,,,,,
愛　知,, 502 , 85 , 90 , 114 , 111 , 102 ,,,,,,,,,
三　重,, 113 , 27 , 15 , 37 , 16 , 18 ,,,,,,,,,
滋　賀,, 88 , 19 , 13 , 22 , 17 , 17 ,,,,,,,,,
京　都,, 186 , 37 , 23 , 49 , 49 , 28 ,,,,,,,,,
大　阪,, 534 , 116 , 125 , 104 , 99 , 90 ,,,,,,,,,
兵　庫,, 424 , 97 , 74 , 87 , 85 , 81 ,,,,,,,,,
奈　良,, 78 , 14 , 16 , 20 , 14 , 14 ,,,,,,,,,
和歌山,, 94 , 20 , 18 , 22 , 22 , 12 ,,,,,,,,,
鳥　取,, 33 , 11 , 6 , 7 , 6 , 3 ,,,,,,,,,
島　根,, 45 , 14 , 8 , 8 , 8 , 7 ,,,,,,,,,
岡　山,, 116 , 29 , 19 , 23 , 32 , 13 ,,,,,,,,,
広　島,, 185 , 30 , 43 , 37 , 34 , 41 ,,,,,,,,,
山　口,, 87 , 15 , 18 , 24 , 8 , 22 ,,,,,,,,,
徳　島,, 37 , 9 , 10 , 6 , 6 , 6 ,,,,,,,,,
香　川,, 84 , 14 , 20 , 24 , 13 , 13 ,,,,,,,,,
愛　媛,, 104 , 24 , 24 , 15 , 21 , 20 ,,,,,,,,,
高　知,, 58 , 7 , 15 , 12 , 15 , 9 ,,,,,,,,,
福　岡,, 420 , 71 , 66 , 103 , 86 , 94 ,,,,,,,,,
佐　賀,, 58 , 7 , 12 , 19 , 10 , 10 ,,,,,,,,,
長　崎,, 86 , 21 , 22 , 18 , 19 , 6 ,,,,,,,,,
熊　本,, 111 , 21 , 26 , 23 , 21 , 20 ,,,,,,,,,
大　分,, 70 , 16 , 13 , 8 , 19 , 14 ,,,,,,,,,
宮　崎,, 90 , 13 , 12 , 32 , 13 , 20 ,,,,,,,,,
鹿児島,, 118 , 21 , 21 , 29 , 30 , 17 ,,,,,,,,,
沖　縄,, 102 , 23 , 14 , 23 , 27 , 15 ,,,,,,,,,
※　自殺者数は、死体が発見された都道府県及び月に計上している。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
